Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.47517675161361694,0.6818956882715637
1,Encoder_1,0.37757325172424316,0.42514662435997225
2,Encoder_2,0.2999151945114136,0.29191339696098156
3,Encoder_3,0.2769559621810913,0.29409449625952566
4,Encoder_4,0.2819563150405884,0.32075288131050705
5,Encoder_5,0.27925097942352295,0.3397577508726586
6,Encoder_6,0.2772393226623535,0.38585282128353793
7,Encoder_7,0.26032066345214844,0.41146015097624977
8,Encoder_8,0.21222853660583496,0.5421298365965259
9,Encoder_9,0.18502271175384521,0.689863037707287
10,Encoder_10,0.1717778444290161,0.6828883851342602
11,Encoder_11,0.1551724672317505,0.8327398084984651
12,Encoder_12,0.1413334608078003,0.9885142290723294
