Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.20615625381469727,0.5680752641562192
1,Encoder_1,0.16267681121826172,0.37771806938818125
2,Encoder_2,0.1108396053314209,0.2693812030852232
3,Encoder_3,0.10560739040374756,0.27156456201879314
4,Encoder_4,0.1102370023727417,0.29839336870549893
5,Encoder_5,0.10288214683532715,0.31882404190789915
6,Encoder_6,0.08944475650787354,0.3582340322243529
7,Encoder_7,0.0786200761795044,0.38311138002192097
8,Encoder_8,0.0594782829284668,0.5129631404257163
9,Encoder_9,0.0644683837890625,0.6641505971909987
10,Encoder_10,0.08365857601165771,0.6692672161370672
11,Encoder_11,0.09301161766052246,0.8394828895436403
12,Encoder_12,0.11160171031951904,0.9805818953891663
