Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.22091436386108398,0.6351079393432606
1,Encoder_1,0.19811952114105225,0.47400550902126276
2,Encoder_2,0.22868478298187256,0.33478637274695067
3,Encoder_3,0.20616328716278076,0.3248637403701764
4,Encoder_4,0.21077632904052734,0.3460008912454482
5,Encoder_5,0.2213841676712036,0.34702655395775495
6,Encoder_6,0.2421046495437622,0.36824840078232396
7,Encoder_7,0.23791444301605225,0.3746536185194095
8,Encoder_8,0.2093895673751831,0.48894055153032573
9,Encoder_9,0.2017991542816162,0.642954859895345
10,Encoder_10,0.20465517044067383,0.6279585023814407
11,Encoder_11,0.18537521362304688,0.778961966015529
12,Encoder_12,0.16813158988952637,0.9817148846363372
