Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.21583616733551025,0.628910173003164
1,Encoder_1,0.19333136081695557,0.4702351106766976
2,Encoder_2,0.22235476970672607,0.33271179748208657
3,Encoder_3,0.1990337371826172,0.3222195261623439
4,Encoder_4,0.20407187938690186,0.34328053243104706
5,Encoder_5,0.21372926235198975,0.3437510155132296
6,Encoder_6,0.23421812057495117,0.3646469921494205
7,Encoder_7,0.23067641258239746,0.3711789569575509
8,Encoder_8,0.20519661903381348,0.48602002199773064
9,Encoder_9,0.20499038696289062,0.6431532606142567
10,Encoder_10,0.21305346488952637,0.6306806860139678
11,Encoder_11,0.1895076036453247,0.7827255975560443
12,Encoder_12,0.17052173614501953,0.9862012042825452
