Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.13422727584838867,0.6012512340431921
1,Encoder_1,0.10115087032318115,0.44399570204967775
2,Encoder_2,0.10572504997253418,0.3089059464806239
3,Encoder_3,0.08673560619354248,0.2998108199913934
4,Encoder_4,0.08675873279571533,0.32164689893823606
5,Encoder_5,0.08580362796783447,0.3206206430903507
6,Encoder_6,0.08168888092041016,0.3330230990581729
7,Encoder_7,0.07763206958770752,0.3390203380757277
8,Encoder_8,0.07091617584228516,0.45541776953453333
9,Encoder_9,0.09128761291503906,0.6138219250497682
10,Encoder_10,0.12242996692657471,0.6117639822293954
11,Encoder_11,0.12398290634155273,0.7815523577158446
12,Encoder_12,0.1363847255706787,0.9712068934970425
