Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.13181889057159424,0.6003854669376837
1,Encoder_1,0.09935247898101807,0.44365109509640566
2,Encoder_2,0.1032644510269165,0.30882496012095323
3,Encoder_3,0.08518123626708984,0.2998546721515045
4,Encoder_4,0.08487236499786377,0.32142200256088327
5,Encoder_5,0.08387207984924316,0.320279523699288
6,Encoder_6,0.08008623123168945,0.3328475691728375
7,Encoder_7,0.07652091979980469,0.33905570790388123
8,Encoder_8,0.07061100006103516,0.45565857121883285
9,Encoder_9,0.09119868278503418,0.6138853400296268
10,Encoder_10,0.12278187274932861,0.6127054934221113
11,Encoder_11,0.12407815456390381,0.7806655547752975
12,Encoder_12,0.13660132884979248,0.9687247952447975
