Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.2199193239212036,0.6336732640723993
1,Encoder_1,0.19760870933532715,0.473590178195784
2,Encoder_2,0.22772669792175293,0.33450304441885287
3,Encoder_3,0.20582270622253418,0.32458314914853703
4,Encoder_4,0.21044552326202393,0.3455602115261602
5,Encoder_5,0.22101962566375732,0.34641725322526995
6,Encoder_6,0.24216771125793457,0.36783032686794015
7,Encoder_7,0.23816907405853271,0.3744069069231782
8,Encoder_8,0.20926988124847412,0.4886526436738614
9,Encoder_9,0.20028245449066162,0.6418826655228357
10,Encoder_10,0.2025156021118164,0.6277074177622801
11,Encoder_11,0.18212890625,0.7770394181420806
12,Encoder_12,0.16448485851287842,0.9771266836211334
