Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.21515226364135742,0.6290296509000326
1,Encoder_1,0.19236230850219727,0.47070132032771556
2,Encoder_2,0.22087335586547852,0.33280242049362496
3,Encoder_3,0.19855523109436035,0.32235943728557637
4,Encoder_4,0.20370399951934814,0.3431671995084174
5,Encoder_5,0.21366536617279053,0.34354608777430223
6,Encoder_6,0.23402023315429688,0.36418905363044773
7,Encoder_7,0.23048484325408936,0.3709814207192753
8,Encoder_8,0.2049010992050171,0.48564668776418113
9,Encoder_9,0.20443665981292725,0.6421183544336039
10,Encoder_10,0.2123560905456543,0.6308345549584373
11,Encoder_11,0.18833816051483154,0.7809493126522774
12,Encoder_12,0.16812360286712646,0.9828202848213038
