Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.027045249938964844,0.5698151897587347
1,Encoder_1,0.03623616695404053,0.4326737843445053
2,Encoder_2,0.03115248680114746,0.30615695916786584
3,Encoder_3,0.0245211124420166,0.3072089784109612
4,Encoder_4,0.026146411895751953,0.3283934688687346
5,Encoder_5,0.03059530258178711,0.32761953222851437
6,Encoder_6,0.0314483642578125,0.33834006149870127
7,Encoder_7,0.02786421775817871,0.3513626176499571
8,Encoder_8,0.024956107139587402,0.4779076167192462
9,Encoder_9,0.02804255485534668,0.639899610065441
10,Encoder_10,0.024645686149597168,0.6323942314961211
11,Encoder_11,0.02669346332550049,0.8289041701437758
12,Encoder_12,0.03715312480926514,0.9553173624750542
