Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.47549593448638916,0.6803696174961246
1,Encoder_1,0.3792615532875061,0.4229675664356606
2,Encoder_2,0.29993903636932373,0.2890904529094066
3,Encoder_3,0.2771202325820923,0.29145346777083553
4,Encoder_4,0.28238677978515625,0.3180499769932242
5,Encoder_5,0.27980029582977295,0.3369531347953882
6,Encoder_6,0.2763117551803589,0.38325469144070395
7,Encoder_7,0.2595134973526001,0.4090998440697883
8,Encoder_8,0.21218645572662354,0.5400041338482667
9,Encoder_9,0.18503403663635254,0.6862793302555689
10,Encoder_10,0.17004287242889404,0.6782453823179261
11,Encoder_11,0.15290725231170654,0.8265016372564586
12,Encoder_12,0.1394944190979004,0.9845531028336497
