Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.45224398374557495,0.6602200420300036
1,Encoder_1,0.3588273525238037,0.4158294717515272
2,Encoder_2,0.2827092409133911,0.28657043692108924
3,Encoder_3,0.26138579845428467,0.288266918917707
4,Encoder_4,0.26796436309814453,0.31480903237410507
5,Encoder_5,0.26628053188323975,0.33348619608050656
6,Encoder_6,0.2639627456665039,0.37941036293052055
7,Encoder_7,0.24902117252349854,0.40582919506406456
8,Encoder_8,0.2065664529800415,0.5371496583834784
9,Encoder_9,0.18545567989349365,0.6851664420277616
10,Encoder_10,0.17477965354919434,0.6801066838411356
11,Encoder_11,0.15587091445922852,0.8290727667143806
12,Encoder_12,0.14326488971710205,0.986927769604926
