layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.1981195211410522,0.07879088824009439,7.563925271049062,8
2,0.2286847829818725,0.09094650075045736,8.730864072043907,9
3,0.2061632871627807,0.08198984342632391,7.871024968927095,8
4,0.2107763290405273,0.08382442118495698,8.04714443375587,8
5,0.2213841676712036,0.08804309193080197,8.45213682535699,8
6,0.2421046495437622,0.09628349732901277,9.243215743585226,9
7,0.2379144430160522,0.09461707853127772,9.083239539002662,9
8,0.2093895673751831,0.08327291478740219,7.9941998195906105,8
9,0.2017991542816162,0.08025425521106701,7.704408500262433,8
10,0.2046551704406738,0.08139007488549475,7.813447189007496,8
11,0.1853752136230468,0.07372255724693769,7.077365495706018,7
12,0.1681315898895263,0.06686487647617326,6.419028141712633,6
