layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.4702351106766976,0.07880992488287362,7.5657527887558675,8
2,0.3327117974820865,0.11138527008788185,10.692985928436658,11
3,0.3222195261623439,0.11501225214087582,11.041176205524078,11
4,0.343280532431047,0.10795600087139644,10.363776083654058,10
5,0.3437510155132296,0.1078082443026582,10.349591453055186,10
6,0.3646469921494205,0.10163032828838094,9.75651151568457,10
7,0.3711789569575509,0.09984184944956148,9.584817547157902,10
8,0.4860200219977306,0.07625034380885888,7.320033005650453,7
9,0.6431532606142567,0.057621093184250474,5.531624945688046,5
10,0.6306806860139678,0.05876062922496488,5.641020405596628,6
11,0.7827255975560443,0.047346342294245246,4.545248860247543,4
12,0.9862012042825452,0.03757772146405221,3.607461260549012,4
