layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.4740055090212627,0.07864088929297744,7.549525372125834,7
2,0.3347863727469506,0.11134328475297271,10.68895533628538,11
3,0.3248637403701764,0.11474415198105622,11.015438590181397,11
4,0.3460008912454482,0.10773444638853183,10.342506853299057,10
5,0.3470265539577549,0.10741602925287655,10.31193880827615,10
6,0.3682484007823239,0.10122573364653528,9.717670430067386,10
7,0.3746536185194095,0.09949514086630627,9.551533523165402,9
8,0.4889405515303257,0.07623874654404068,7.318919668227906,7
9,0.642954859895345,0.05797641061755851,5.565735419285617,6
10,0.6279585023814407,0.05936095269135988,5.6986514583705485,6
11,0.778961966015529,0.04785370363811995,4.593955549259515,5
12,0.9817148846363372,0.037970510327664825,3.645168991455823,4
