layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.0,0.15869318468905871,15.234545730149637,15
2,0.0,0.0739608985773874,7.10024626342919,7
3,0.0,0.1165171453502007,11.185645953619268,11
4,0.0,0.1191169234639132,11.435224652535666,12
5,0.0,0.03483318113096844,3.3439853885729702,3
6,0.0,0.012649090778544527,1.2143127147402746,1
7,0.0,0.09769800519090095,9.379008498326492,9
8,0.0,0.019761801532010088,1.8971329470729685,2
9,0.0,0.061954705540826646,5.947651731919358,6
10,0.0,0.14421097686899528,13.844253779423546,14
11,0.0,0.14136590613435995,13.571126988898556,14
12,0.0,0.01923818074283414,1.8468653513120774,2
