layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.1011508703231811,0.07735765303476883,7.426334691337807,7
2,0.1057250499725341,0.07401078520300525,7.105035379488504,7
3,0.0867356061935424,0.09021432080152371,8.660574796946277,9
4,0.0867587327957153,0.09019027307284248,8.658266214992878,9
5,0.0858036279678344,0.09119420679033895,8.754643851872538,9
6,0.0816888809204101,0.09578774562903303,9.19562358038717,9
7,0.0776320695877075,0.10079331567257242,9.676158304566952,10
8,0.0709161758422851,0.11033862878079927,10.59250836295673,11
9,0.091287612915039,0.08571583369505165,8.228720034724958,8
10,0.1224299669265747,0.06391240855084745,6.135591220881356,6
11,0.1239829063415527,0.0631118781126751,6.05874029881681,6
12,0.1363847255706787,0.05737295065654193,5.507803263028025,5
