layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.0,0.09085626111020137,8.72220106657933,9
2,0.0,0.030447561505757857,2.922965904552754,3
3,0.0,0.15090559203852946,14.486936835698828,15
4,0.0,0.14445278011562962,13.867466891100444,14
5,0.0,0.07303160626465607,7.011034201406983,7
6,0.0,0.10372578666895506,9.957675520219686,10
7,0.0,0.033538128594057186,3.2196603450294896,3
8,0.0,0.03465958603180428,3.327320259053211,3
9,0.0,0.04510706934940515,4.330278657542895,4
10,0.0,0.10825210524078921,10.392202103115764,10
11,0.0,0.03320259539709032,3.1874491581206708,3
12,0.0,0.15182092768312427,14.57480905757993,15
