layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.0,0.026770557203278745,2.5699734915147596,2
2,0.0,0.11128838291179292,10.68368475953212,11
3,0.0,0.030657670444376485,2.943136362660143,3
4,0.0,0.12873086787598872,12.358163316094917,12
5,0.0,0.10981900542043414,10.542624520361677,10
6,0.0,0.06943945813461244,6.666187980922794,7
7,0.0,0.11156523677333298,10.710262730239966,11
8,0.0,0.10230660617784572,9.82143419307319,10
9,0.0,0.007809100364739444,0.7496736350149866,1
10,0.0,0.09577813107353174,9.194700583059047,9
11,0.0,0.11195559174933155,10.747736807935828,11
12,0.0,0.09387939187073513,9.012421619590572,9
