layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.1933313608169555,0.08847236176462242,8.493346729403752,8
2,0.222354769706726,0.07692428740199761,7.3847315905917705,7
3,0.1990337371826172,0.08593760214781251,8.25000980619,8
4,0.2040718793869018,0.08381596814120491,8.046332941555672,8
5,0.2137292623519897,0.08002873350543563,7.68275841652182,8
6,0.2342181205749511,0.07302800572005473,7.010688549125254,7
7,0.2306764125823974,0.07414924675823056,7.118327688790134,7
8,0.2051966190338134,0.08335654956860665,8.002228758586238,8
9,0.2049903869628906,0.08344041102795893,8.010279458684057,8
10,0.2130534648895263,0.08028258158303762,7.707127831971611,8
11,0.1895076036453247,0.09025749757674728,8.664719767367739,9
12,0.1705217361450195,0.10030675480429117,9.629448461211952,10
