Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.22603470087051392,0.5745890707447745
1,Encoder_1,0.17545723915100098,0.38051602208251867
2,Encoder_2,0.11841368675231934,0.27108752891551824
3,Encoder_3,0.11250054836273193,0.27313582167679956
4,Encoder_4,0.117484450340271,0.30025739356755016
5,Encoder_5,0.10969889163970947,0.3210256413858286
6,Encoder_6,0.09523379802703857,0.3601761637069208
7,Encoder_7,0.08341741561889648,0.38470197646594506
8,Encoder_8,0.06209456920623779,0.5135358910846368
9,Encoder_9,0.06612002849578857,0.6639271562510911
10,Encoder_10,0.08349871635437012,0.6688771575673969
11,Encoder_11,0.09294867515563965,0.8394499900246151
12,Encoder_12,0.11184227466583252,0.9814517370251786
