Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.47440212965011597,0.6653942941663186
1,Encoder_1,0.3721819519996643,0.41765283921402563
2,Encoder_2,0.289670467376709,0.28954165044572344
3,Encoder_3,0.26748716831207275,0.2910533761913196
4,Encoder_4,0.27347660064697266,0.3175348380804019
5,Encoder_5,0.2712132930755615,0.3368943408137716
6,Encoder_6,0.26906371116638184,0.38310651659324296
7,Encoder_7,0.2536649703979492,0.4092492120872982
8,Encoder_8,0.20902657508850098,0.539441565123918
9,Encoder_9,0.18955636024475098,0.6890212777265586
10,Encoder_10,0.18093740940093994,0.6849764129347039
11,Encoder_11,0.162878155708313,0.8370301625812545
12,Encoder_12,0.14728355407714844,0.9945009408798166
