Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.4969412088394165,0.6802140965827725
1,Encoder_1,0.38774365186691284,0.424387665696434
2,Encoder_2,0.3035717010498047,0.2922965849020202
3,Encoder_3,0.28029966354370117,0.2945359396742762
4,Encoder_4,0.2855335474014282,0.321414731874624
5,Encoder_5,0.28263819217681885,0.34101309426443865
6,Encoder_6,0.27969062328338623,0.3871170647678183
7,Encoder_7,0.2622443437576294,0.4126649009814698
8,Encoder_8,0.21386539936065674,0.5427457456853805
9,Encoder_9,0.18809723854064941,0.6903626581163032
10,Encoder_10,0.17416596412658691,0.6832754374345393
11,Encoder_11,0.15808749198913574,0.8340223022942889
12,Encoder_12,0.1449204683303833,0.99172440257517
