Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.12761354446411133,0.5962522896963384
1,Encoder_1,0.09624731540679932,0.44025728114800805
2,Encoder_2,0.09966075420379639,0.3067317358631756
3,Encoder_3,0.08246636390686035,0.2980163433006874
4,Encoder_4,0.08256137371063232,0.3197398676241292
5,Encoder_5,0.08182036876678467,0.31873049858119984
6,Encoder_6,0.07804369926452637,0.33194234282218227
7,Encoder_7,0.07434916496276855,0.3384138600776366
8,Encoder_8,0.0681154727935791,0.4549679782583539
9,Encoder_9,0.08734643459320068,0.6116690546892141
10,Encoder_10,0.11738598346710205,0.6092423994363237
11,Encoder_11,0.1205211877822876,0.7758869817527774
12,Encoder_12,0.13395535945892334,0.9616516632101441
