Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.2164098024368286,0.6279788890984601
1,Encoder_1,0.19570529460906982,0.4696002084631325
2,Encoder_2,0.22401785850524902,0.3317855375253457
3,Encoder_3,0.20280671119689941,0.3221757157967093
4,Encoder_4,0.2073267698287964,0.343068917807917
5,Encoder_5,0.2179809808731079,0.3437173837794816
6,Encoder_6,0.23876214027404785,0.36539399098403297
7,Encoder_7,0.23466455936431885,0.37204878552888165
8,Encoder_8,0.20804667472839355,0.4863375876184473
9,Encoder_9,0.19944655895233154,0.6387571910342565
10,Encoder_10,0.20140671730041504,0.6243411064466304
11,Encoder_11,0.1809149980545044,0.773368534849244
12,Encoder_12,0.16165614128112793,0.9732115088410208
