Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.21232545375823975,0.6254258428608163
1,Encoder_1,0.1897212266921997,0.4677174598058823
2,Encoder_2,0.21746408939361572,0.3306911765743626
3,Encoder_3,0.19563424587249756,0.3205008009879024
4,Encoder_4,0.2013843059539795,0.3416791370163552
5,Encoder_5,0.21124958992004395,0.34212319272998726
6,Encoder_6,0.23090112209320068,0.3631436617590605
7,Encoder_7,0.22704267501831055,0.36997777540846827
8,Encoder_8,0.20289897918701172,0.48440251906524656
9,Encoder_9,0.201096773147583,0.6388690911064777
10,Encoder_10,0.2075110673904419,0.6268116222722845
11,Encoder_11,0.18435406684875488,0.776024222982489
12,Encoder_12,0.16561245918273926,0.9773679848801351
