Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.2183130979537964,0.6269477897092588
1,Encoder_1,0.1962977647781372,0.46695868824358133
2,Encoder_2,0.22399842739105225,0.3301311011085989
3,Encoder_3,0.20235884189605713,0.3210638225048422
4,Encoder_4,0.20630478858947754,0.3418230937449853
5,Encoder_5,0.2168971300125122,0.34239822608548803
6,Encoder_6,0.238616943359375,0.36381857658564287
7,Encoder_7,0.23428142070770264,0.3701788435529471
8,Encoder_8,0.2062528133392334,0.4843123571722471
9,Encoder_9,0.1964576244354248,0.6350321440784712
10,Encoder_10,0.20033717155456543,0.6240176784237335
11,Encoder_11,0.18231141567230225,0.7727964425216584
12,Encoder_12,0.16466164588928223,0.977569246453303
