Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.030321717262268066,0.5686070947647962
1,Encoder_1,0.038814663887023926,0.43037468767895204
2,Encoder_2,0.03351438045501709,0.30458970413995123
3,Encoder_3,0.02591729164123535,0.3057353785001907
4,Encoder_4,0.027234911918640137,0.32725704026070634
5,Encoder_5,0.031353116035461426,0.32577463760779635
6,Encoder_6,0.032086730003356934,0.33651192550363956
7,Encoder_7,0.027546167373657227,0.3492603255044154
8,Encoder_8,0.024705886840820312,0.4775508352170222
9,Encoder_9,0.02763807773590088,0.6417590547574233
10,Encoder_10,0.02587890625,0.6387285928865925
11,Encoder_11,0.026553750038146973,0.831768187549192
12,Encoder_12,0.03368020057678223,0.9533392586578918
