Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.21154844760894775,0.6251294299242222
1,Encoder_1,0.1919114589691162,0.4679603398375089
2,Encoder_2,0.219956636428833,0.33054051302882903
3,Encoder_3,0.1974576711654663,0.32014814716363127
4,Encoder_4,0.20258188247680664,0.34131537113297344
5,Encoder_5,0.21339499950408936,0.3421296971577059
6,Encoder_6,0.23449230194091797,0.36306051446067705
7,Encoder_7,0.2319502830505371,0.37055564388129153
8,Encoder_8,0.2071167230606079,0.48581122606542027
9,Encoder_9,0.20467305183410645,0.6406148585796185
10,Encoder_10,0.20717871189117432,0.6284398732397389
11,Encoder_11,0.18508946895599365,0.7765836382270062
12,Encoder_12,0.16749656200408936,0.9835792679732274
