Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.19043660163879395,0.5769264745027148
1,Encoder_1,0.15507745742797852,0.3754126038606681
2,Encoder_2,0.10914373397827148,0.265639817333198
3,Encoder_3,0.10438799858093262,0.2684704548000972
4,Encoder_4,0.10888981819152832,0.29622940043326507
5,Encoder_5,0.10169637203216553,0.31641919984587674
6,Encoder_6,0.08886957168579102,0.3546958444420951
7,Encoder_7,0.07722282409667969,0.37958560205320774
8,Encoder_8,0.05908095836639404,0.5112257075699168
9,Encoder_9,0.06409335136413574,0.6624391488036203
10,Encoder_10,0.08287918567657471,0.6698125685389434
11,Encoder_11,0.0946584939956665,0.835711197307209
12,Encoder_12,0.11237621307373047,0.981717428133789
