Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.406466543674469,0.6363737209918157
1,Encoder_1,0.3265807032585144,0.4049602883474144
2,Encoder_2,0.26734793186187744,0.2824539262408953
3,Encoder_3,0.2459508180618286,0.2844244484831153
4,Encoder_4,0.251605749130249,0.3105898529293328
5,Encoder_5,0.25242185592651367,0.32937849005635517
6,Encoder_6,0.2563973665237427,0.3750228779046969
7,Encoder_7,0.24403977394104004,0.40300384328753786
8,Encoder_8,0.20598626136779785,0.5359660212733324
9,Encoder_9,0.1856977939605713,0.6866658555769436
10,Encoder_10,0.17594099044799805,0.6842202068661225
11,Encoder_11,0.1611694097518921,0.8325390028819191
12,Encoder_12,0.14897119998931885,0.9955426784363691
