Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.03195595741271973,0.4501566472230662
1,Encoder_1,0.030939459800720215,0.32667249165348233
2,Encoder_2,0.020007967948913574,0.2643476468075969
3,Encoder_3,0.02046990394592285,0.2676985009725649
4,Encoder_4,0.021004438400268555,0.2902406580670683
5,Encoder_5,0.020717501640319824,0.31032911350350956
6,Encoder_6,0.019182801246643066,0.3481356308349061
7,Encoder_7,0.016553521156311035,0.387242457517711
8,Encoder_8,0.014619231224060059,0.5390461686183773
9,Encoder_9,0.016183853149414062,0.701765300117338
10,Encoder_10,0.016396760940551758,0.7139232090958569
11,Encoder_11,0.019512176513671875,0.8875387221308274
12,Encoder_12,0.030123353004455566,0.9668556719961945
